[WEBUI] delivery config normalized | mode=private | firebase=on | discord=off | telegram_enabled=no | telegram_bot_api=no | telegram_token_valid=no | telegram_chat_id_present=no | telegram_ready=no
[WEBUI] Firebase mirror enabled. SQLite remains the source of truth; dashboard view source is user-selected.

--- RENDER DASHBOARD IS RUNNING ---
DoneYet / JDTool for Houdini | Build 2026.04.07 | Owner: Truong Do Trung Hieu | JamesDo
Local:  http://127.0.0.1:8000
DB:     D:\Antigravity\PluginHoudini_JDTool\packages\JDTool\doneyet_render_tracker.db
Public: unavailable (bundle cloudflared.exe to enable)
-----------------------------------

127.0.0.1 - - [24/Apr/2026 20:48:45] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 20:48:46] "GET /?profile=eyJ0eXBlIjoiRG9uZVlldFNoYXJlUHJvZmlsZSIsInZlcnNpb24iOjEsIndlYkNvbmZpZyI6eyJ0eXBlIjoiRG9uZVlldFdlYkNvbmZpZyIsInZlcnNpb24iOjEsImNvbm5lY3Rpb24iOnsiZGF0YWJhc2VVUkwiOiJodHRwczovL3JlbmRlcm1hbmFnZXItYzkyOTgtZGVmYXVsdC1ydGRiLmFzaWEtc291dGhlYXN0MS5maXJlYmFzZWRhdGFiYXNlLmFwcCIsImxvY2FsT25seSI6ZmFsc2V9LCJicmFuZGluZyI6eyJjb21wYW55TmFtZSI6IlRFTkNPTkdUWSBPIERBWSIsInRoZW1lTW9kZSI6ImRhcmsiLCJpY29uTGlicmFyeSI6Imx1Y2lkZSIsImhlcm9CYWNrZ3JvdW5kSWNvbiI6ImFsYnVtIn0sInBlcm1pc3Npb25zIjp7ImFsbG93RGVsZXRlU2hvdCI6dHJ1ZSwiYWxsb3dDbGVhckRhdGFiYXNlIjpmYWxzZX19fQ HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 20:48:46] "GET /style.css HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 20:48:46] "GET /runtime_mode.js HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 20:48:46] "GET /web_config.js HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 20:48:46] "GET /realtime_db_rest_client.js HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 20:48:46] "GET /dashboard_data_mapper.js HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 20:48:46] "GET /hero_icon_library.js HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 20:48:47] "GET /api/share_qr?data=https%3A%2F%2Fdad-lou-golf-ratios.trycloudflare.com%2F%3Fprofile%3DeyJ0eXBlIjoiRG9uZVlldFNoYXJlUHJvZmlsZSIsInZlcnNpb24iOjEsIndlYkNvbmZpZyI6eyJ0eXBlIjoiRG9uZVlldFdlYkNvbmZpZyIsInZlcnNpb24iOjEsImNvbm5lY3Rpb24iOnsiZGF0YWJhc2VVUkwiOiJodHRwczovL3JlbmRlcm1hbmFnZXItYzkyOTgtZGVmYXVsdC1ydGRiLmFzaWEtc291dGhlYXN0MS5maXJlYmFzZWRhdGFiYXNlLmFwcCIsImxvY2FsT25seSI6ZmFsc2V9LCJicmFuZGluZyI6eyJjb21wYW55TmFtZSI6IlRFTkNPTkdUWSBPIERBWSIsInRoZW1lTW9kZSI6ImRhcmsiLCJpY29uTGlicmFyeSI6Imx1Y2lkZSIsImhlcm9CYWNrZ3JvdW5kSWNvbiI6ImFsYnVtIn0sInBlcm1pc3Npb25zIjp7ImFsbG93RGVsZXRlU2hvdCI6dHJ1ZSwiYWxsb3dDbGVhckRhdGFiYXNlIjpmYWxzZX19fQ HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 20:48:47] "GET /server_runtime.json HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 20:48:47] "GET /api/service_status HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 20:48:47] "GET /favicon.svg HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 20:48:47] "GET /api/service_status HTTP/1.1" 200 -
[WEBUI] /api/data serving SQLite truth from D:\Antigravity\PluginHoudini_JDTool\packages\JDTool\doneyet_render_tracker.db
127.0.0.1 - - [24/Apr/2026 20:48:47] "GET /api/service_status HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 20:48:47] "GET /api/data HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 20:48:50] "GET /server_runtime.json HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 20:48:50] "GET /api/service_status HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 20:48:50] "GET /api/data HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 20:48:50] "GET /api/service_status HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 20:48:53] "GET /api/service_status HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 20:48:53] "GET /api/data HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 20:48:53] "GET /server_runtime.json HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 20:48:53] "GET /api/service_status HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 20:48:55] "GET /api/service_status HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 20:48:55] "GET /api/data HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 20:48:56] "GET /server_runtime.json HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 20:48:56] "GET /api/service_status HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 20:48:58] "GET /api/data HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 20:48:58] "GET /api/service_status HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 20:48:59] "GET /server_runtime.json HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 20:48:59] "GET /api/service_status HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 20:49:01] "GET /api/data HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 20:49:01] "GET /api/service_status HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 20:49:02] "GET /server_runtime.json HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 20:49:02] "GET /api/service_status HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 20:49:05] "GET /style.css HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 20:49:05] "GET /server_runtime.json HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 20:49:05] "GET /api/service_status HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 20:49:08] "GET /api/service_status HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 20:49:08] "GET /server_runtime.json HTTP/1.1" 200 -
